"","id","lat","lon"
"1",72561050,40.9141,-103.8985
"2",72561051,40.9131,-103.9006
"3",72561052,40.9123,-103.9023
"4",72561053,40.9114,-103.9042
"5",72561054,40.9101,-103.9069
"6",72561055,40.9089,-103.9088
"7",72561056,40.9072,-103.9111
"8",72561057,40.9015,-103.8983
"9",72561058,40.9004,-103.9003
"10",72561059,40.8995,-103.9025
"11",72561060,40.8977,-103.9035
"12",72561061,40.8951,-103.9038
"13",72561062,40.8837,-103.8992
"14",72561063,40.8812,-103.8993
"15",72561064,40.8792,-103.9014
"16",72561065,40.8793,-103.9048
"17",72561066,40.8792,-103.9089
"18",72561067,40.878,-103.9106
"19",72561068,40.8768,-103.9124
"20",72564051,40.9692,-104.0317
"21",72564052,40.9673,-104.0335
"22",72564053,40.9656,-104.0358
"23",72564054,40.9638,-104.0383
"24",72564055,40.9622,-104.0409
"25",72564056,40.9604,-104.0434
"26",72564057,40.9545,-104.0731
"27",72564058,40.9569,-104.0713
"28",72564059,40.953,-104.0764
"29",72564060,40.9518,-104.0792
"30",72564061,40.9498,-104.0321
"31",72564062,40.9483,-104.0348
"32",72564063,40.9469,-104.0374
"33",72564064,40.9454,-104.04
"34",72564065,40.9429,-104.0437
"35",72564066,40.9415,-104.0457
"36",72564067,40.9401,-104.0479
"37",72564068,40.9382,-104.0509
"38",72564069,40.937,-104.0537
"39",72564070,40.9358,-104.0565
"40",72564071,40.9338,-104.0584
"41",72564072,40.9316,-104.06
"42",72564073,40.925,-104.0585
"43",72564074,40.9243,-104.0617
"44",72564075,40.9252,-104.0724
"45",72564076,40.9234,-104.0742
"46",72564077,40.9216,-104.076
"47",72564078,40.9198,-104.0778
"48",72564079,40.9179,-104.0786
"49",72564080,40.9157,-104.0812
"50",72564081,40.9091,-104.0888
"51",72564082,40.9076,-104.0915
"52",72564083,40.9061,-104.094
"53",72564084,40.9045,-104.0973
"54",72564085,40.9031,-104.0998
"55",72564086,40.9012,-104.1016
"56",72564087,40.8984,-104.1023
"57",72564088,40.8951,-104.0779
