Longitude,Latitude,Serv_ID
-105.226,40.089,2
-105.203,40.465,3
-105.206,40.373,4
-105.206,40.478,6
-105.207,40.091,7
-105.210,40.098,8
-105.211,40.286,9
-105.207,40.093,11
-105.226,40.136,12
-105.221,40.371,13
-105.207,40.366,14
-105.208,40.282,15
-105.206,40.097,16
-105.205,40.473,17
-105.214,40.675,18
-105.206,40.098,19
-105.226,40.249,20
-105.223,40.102,22
-105.221,40.610,23
-105.219,40.163,24
-105.216,40.757,25
-105.199,40.491,26
-105.335,40.618,27
-105.238,40.571,28
-105.239,40.101,31
-105.202,40.168,32
-105.206,40.109,33
-105.250,40.100,34
-105.245,40.279,35
-105.234,40.258,36
-105.249,40.204,37
-105.210,40.482,38
-105.216,40.518,40
-105.217,40.102,41
-105.213,40.146,42
-105.206,40.102,44
-105.203,40.766,45
-105.214,40.520,46
-105.197,40.439,47
-105.216,40.102,48
-105.203,40.102,49
-105.193,40.426,50
-105.250,40.515,51
-105.225,40.131,52
-105.211,40.102,53
-105.199,40.263,54
-105.209,40.106,55
-105.208,40.102,56
-105.207,40.102,57
-105.205,40.102,58
-105.197,40.594,59
-105.214,40.279,60
-105.206,40.104,61
-105.216,40.489,62
-105.216,40.103,63
-105.186,40.596,64
-105.212,40.381,65
-105.225,40.134,66
-105.212,40.527,67
-105.213,40.172,68
-105.211,40.474,69
-105.212,40.488,70
-105.199,40.103,71
-105.197,40.102,72
-105.210,40.102,73
-105.210,40.102,74
-105.210,40.103,75
-105.209,40.103,76
-105.208,40.147,77
-105.191,40.223,78
-105.211,40.102,79
-105.200,40.755,80
-105.206,40.103,81
-105.206,40.104,82
-105.213,40.482,83
-105.214,40.102,84
-105.203,40.462,85
-105.234,40.151,86
-105.215,40.773,87
-105.214,40.391,88
-105.203,40.769,89
-105.203,40.103,90
-105.210,40.488,91
-105.207,40.371,92
-105.205,40.107,93
-105.206,40.375,94
-105.201,40.333,95
-105.212,40.103,96
-104.921,40.360,97
-105.210,40.480,98
-105.210,40.170,99
-105.210,40.104,100
-105.209,40.110,101
-105.207,40.104,102
-105.206,40.104,103
-105.185,40.614,104
-105.217,40.282,105
-105.276,40.130,106
-105.232,40.564,107
-105.213,40.104,109
-105.199,40.158,110
-105.212,40.356,111
-105.198,40.435,112
-105.209,40.473,113
-105.213,40.104,114
-105.214,40.980,116
-105.213,40.728,118
-105.202,40.589,119
-105.207,40.356,120
-105.200,40.106,121
-105.199,40.179,122
-105.211,40.163,123
-105.209,40.480,124
-105.211,40.159,125
-105.205,40.477,126
-105.202,40.356,127
-105.208,40.483,128
-105.206,40.356,129
-105.204,40.104,130
-105.212,40.288,131
-105.201,40.479,132
-105.240,40.105,133
-105.205,40.102,134
-105.240,40.104,136
-105.203,40.161,137
-105.200,40.102,138
-105.198,40.105,139
-105.210,40.315,140
-105.177,40.751,141
-105.206,40.105,142
-105.205,40.161,143
-105.203,40.460,144
-105.209,40.778,145
-105.207,40.481,146
-105.208,40.174,147
-105.202,40.400,148
-105.202,40.355,149
-105.199,40.360,150
-105.199,40.631,151
-105.210,40.296,152
-105.203,40.104,153
-105.206,40.105,154
-105.203,40.105,155
-105.211,40.291,156
-105.209,40.106,157
-105.204,40.350,158
-105.203,40.456,159
-105.199,40.106,160
-105.245,40.178,161
-105.197,40.587,162
-105.199,40.106,163
-105.197,40.440,164
-105.200,40.106,165
-105.209,40.356,166
-105.206,40.106,167
-105.203,40.728,168
-105.200,40.106,169
